X;Y;Z;SetPoint X
85.9375;3;-101.0625;360
80.0625;11.9375;-101.4375;350
72.625;20.3125;-102.0625;340
64.5625;27.875;-102.9375;330
53.625;37.0625;-104.6875;320
41.6875;46.1875;-107.25;310
28.75;55.5625;-111.375;300
15.6875;64.5625;-118.875;290
2.6875;72.6875;-134.125;280
349.6875;77.75;-167.4375;270
336.4375;76.0625;148.0625;260
323.25;68.9375;124.1875;250
310.1875;60.125;113.5;240
296.8125;50.4375;108.3125;230
283.1875;40.3125;105.8125;220
270.0625;30.6875;103.6875;210
256.9375;20.875;102.1875;200
243.9375;11.0625;101.25;190
231.1875;1.25;100.625;180
229.9375;0.9375;100.625;180
237.9375;9.5625;100.9375;190
246.25;17.375;101.75;200
257.4375;26.8125;103.0625;210
269.8125;36.25;104.875;220
282.875;45.875;107.5625;230
296;55.3125;111.9375;240
309.1875;64.25;119.875;250
322.375;72.125;135.6875;260
335.8125;76.9375;168.875;270
348.75;75.1875;-151.1875;280
1.9375;68.625;-128;290
15.25;60.1875;-116.75;300
28.5;51.125;-110.75;310
41.6875;41.75;-107.25;320
55;32.1875;-105;330
68.25;22.5;-103.5;340
81.75;12.5;-102.625;350
95.25;2.5;-102.1875;360
